frame,t_sec,knee_flexion_deg,knee_included_deg,ankle_shank_foot_deg,hip_sagittal_deg,support_knee_flexion_deg,knee_ext_vel_dps,shank_ang_vel_dps,thigh_ang_vel_dps,pelvis_shoulder_sep_deg,foot_speed_rel_ms,foot_speed_abs_ms
45.000000,0.187500,91.383898,88.616102,74.309706,-102.719730,26.221255,-0.585336,4.058360,4.429147,-24.199310,0.037725,1.055917
46.000000,0.191667,91.372660,88.627340,74.258941,-102.757186,26.222589,-1.364258,3.963867,4.552641,-24.214907,0.039262,1.143369
47.000000,0.195833,91.373068,88.626932,74.227611,-102.866924,26.218511,0.417847,1.932373,2.461597,-24.124788,0.053346,1.221595
48.000000,0.200000,91.381967,88.618033,73.919505,-102.900798,26.229689,1.477729,7.092163,1.784767,-24.134834,0.088075,1.174111
49.000000,0.204167,91.362069,88.637931,73.768017,-102.987667,26.215538,1.040083,4.376911,3.190568,-24.109586,0.069398,1.240771
50.000000,0.208333,91.356042,88.643958,73.716360,-103.232070,26.208816,1.784981,2.910426,3.834830,-24.102864,0.056406,1.278382
51.000000,0.212500,91.357744,88.642256,73.627358,-103.336465,26.212078,2.827350,1.322693,4.283929,-24.101524,0.041237,1.396122
52.000000,0.216667,91.343870,88.656130,73.575905,-103.454911,26.185228,2.993623,1.126672,2.270570,-24.067247,0.056049,1.489381
53.000000,0.220833,91.323852,88.676148,73.379384,-103.528883,26.208068,3.208917,4.283849,0.311997,-24.071643,0.059129,1.488296
54.000000,0.225000,91.302304,88.697696,73.322470,-103.642890,26.197657,5.591456,7.135011,1.338926,-24.075592,0.050924,1.477294
55.000000,0.229167,91.300670,88.699330,73.323954,-103.646708,26.200818,4.627325,8.182143,1.078981,-24.071004,0.038477,1.437424
56.000000,0.233333,91.282642,88.717358,73.364762,-103.634987,26.219726,0.143073,5.410625,4.601893,-24.076214,0.034585,1.302497
57.000000,0.237500,91.236589,88.763411,73.344187,-103.654944,26.298457,-3.487945,4.497791,8.381727,-24.082633,0.027702,1.102966
58.000000,0.241667,91.306458,88.693542,73.269906,-103.440124,26.313287,-1.632095,4.384172,10.089401,-24.114629,0.034129,0.994468
59.000000,0.245833,91.337670,88.662330,73.244421,-103.370175,26.345642,1.233400,5.668473,10.449967,-24.124669,0.030117,0.936205
60.000000,0.250000,91.290356,88.709644,73.153289,-103.366356,26.358858,5.328088,6.000144,9.087497,-24.169585,0.030111,0.904118
61.000000,0.254167,91.221290,88.778710,73.038116,-103.466579,26.370167,5.617318,4.430550,8.033435,-24.249743,0.039486,0.832528
62.000000,0.258333,91.242699,88.757301,73.049250,-103.371048,26.380924,-0.058944,2.478249,5.318376,-24.247753,0.033174,0.637314
63.000000,0.262500,91.247783,88.752217,73.072821,-103.406139,26.394041,-3.213586,6.623409,2.311090,-24.273657,0.039866,0.493016
64.000000,0.266667,91.294203,88.705797,72.933856,-103.313342,26.445795,-1.499664,8.248505,0.315509,-24.382941,0.046954,0.462747
65.000000,0.270833,91.268134,88.731866,72.940566,-103.405578,26.442368,1.782470,8.484527,1.451533,-24.410673,0.040441,0.497322
66.000000,0.275000,91.235702,88.764298,73.012726,-103.478318,26.421972,2.693603,5.900004,2.709508,-24.442242,0.036337,0.564143
67.000000,0.279167,91.243046,88.756954,73.030684,-103.442672,26.401996,0.625576,5.156402,6.075120,-24.447974,0.037210,0.507352
68.000000,0.283333,91.254073,88.745927,73.044269,-103.492713,26.395119,-1.352065,5.000292,8.796926,-24.461056,0.033983,0.400469
69.000000,0.287500,91.246323,88.753677,73.084941,-103.493417,26.400540,0.006326,5.239518,7.899145,-24.455560,0.024753,0.328226
70.000000,0.291667,91.268511,88.731489,73.127580,-103.469144,26.407012,4.224249,2.785752,6.714065,-24.467255,0.024602,0.268149
71.000000,0.295833,91.219336,88.780664,73.213587,-103.639453,26.402523,3.850867,1.295530,9.153831,-24.474346,0.034015,0.160482
72.000000,0.300000,91.214239,88.785761,73.322913,-103.610352,26.411996,-1.107611,3.042426,13.223849,-24.503129,0.046075,0.205338
73.000000,0.304167,91.201004,88.798996,73.590645,-103.694001,26.342632,-6.155920,4.056486,16.230287,-24.387824,0.046241,0.303789
74.000000,0.308333,91.280490,88.719510,73.686798,-103.588818,26.124375,-7.916114,5.541069,13.229197,-24.363998,0.029866,0.415980
75.000000,0.312500,91.327094,88.672906,73.876663,-103.545744,26.091347,-7.980419,9.241489,10.632384,-24.358803,0.040414,0.617175
76.000000,0.316667,91.323711,88.676289,73.926066,-103.502795,26.118842,-7.633431,9.322282,6.471123,-24.389618,0.070861,0.802584
77.000000,0.320833,91.322038,88.677962,73.974745,-103.666306,26.066029,-6.109158,8.483390,5.750245,-24.357146,0.085042,0.897935
78.000000,0.325000,91.412862,88.587138,74.095390,-103.586835,25.981213,-7.281915,7.749442,6.340711,-24.373984,0.073888,0.922946
79.000000,0.329167,91.422903,88.577097,74.102245,-103.570197,25.968170,-6.683738,7.317569,5.183119,-24.336947,0.046672,0.874537
80.000000,0.333333,91.430924,88.569076,74.116902,-103.610315,25.958298,-1.926913,4.303497,0.154512,-24.321652,0.013444,0.726145
81.000000,0.337500,91.443394,88.556606,74.124122,-103.583894,25.967723,-0.071273,6.830549,4.069803,-24.304102,0.040406,0.679146
82.000000,0.341667,91.441772,88.558228,74.113096,-103.683046,26.020417,-2.932667,10.715143,1.235958,-24.277928,0.045115,0.680595
83.000000,0.345833,91.436136,88.563864,74.100823,-103.715320,26.050014,-4.183761,9.996044,0.776905,-24.280081,0.038442,0.637150
84.000000,0.350000,91.496097,88.503903,74.116713,-103.667688,26.074009,-5.833319,7.920340,2.836351,-24.274899,0.014838,0.579289
85.000000,0.354167,91.500959,88.499041,74.157534,-103.652691,26.066101,-3.438916,1.119192,2.554317,-24.250036,0.024557,0.513547
86.000000,0.358333,91.508572,88.491428,74.147833,-103.633084,26.082391,0.160497,1.820109,3.873633,-24.244693,0.014093,0.401193
87.000000,0.362500,91.519083,88.480917,74.143038,-103.579006,26.099725,3.331428,5.899131,7.484963,-24.229610,0.014972,0.289159
88.000000,0.366667,91.465031,88.534969,74.074731,-103.673781,26.289900,2.114566,6.982379,8.222951,-24.225065,0.013933,0.239730
89.000000,0.370833,91.488286,88.511714,74.028775,-103.600070,26.321856,-0.869492,10.027180,6.810794,-24.244706,0.021613,0.181127
90.000000,0.375000,91.493954,88.506046,74.005873,-103.494905,26.338352,-7.428626,3.459889,7.020682,-24.202440,0.017057,0.203200
91.000000,0.379167,91.532116,88.467884,74.003074,-103.494899,26.389108,-12.033505,11.604531,6.636115,-24.201462,0.011139,0.287310
92.000000,0.383333,91.591327,88.408673,73.970003,-103.387804,26.377204,-12.218473,16.600031,5.863649,-24.125357,0.010958,0.443167
93.000000,0.387500,91.659181,88.340819,73.877627,-103.475008,26.397055,-9.631849,20.489438,5.160408,-24.014465,0.023097,0.668827
94.000000,0.391667,91.659967,88.340033,73.854358,-103.475590,26.484876,-4.273631,23.374209,6.911937,-23.999247,0.047870,0.964501
95.000000,0.395833,91.674509,88.325491,73.860169,-103.496767,26.487919,3.856180,25.445069,12.013867,-23.972411,0.082674,1.329943
